USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23736 14580 ?        Ss   10:19   0:16 /sbin/init splash
root          58  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/11]
root          59  0.0  0.0      0     0 ?        S    10:19   0:04 [migration/11]
root          60  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/11]
root          62  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/11:0H-events_highpri]
root          63  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/12]
root          64  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/12]
root          65  0.0  0.0      0     0 ?        S    10:19   0:12 [migration/12]
root          66  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/12]
root          68  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/12:0H-events_highpri]
root          69  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/13]
root          70  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/13]
root          71  0.0  0.0      0     0 ?        S    10:19   0:09 [migration/13]
root          72  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/13]
root          74  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/13:0H-events_highpri]
root          75  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/14]
root          76  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/14]
root          77  0.0  0.0      0     0 ?        S    10:19   0:07 [migration/14]
root          78  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/14]
root          80  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/14:0H-events_highpri]
root          81  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/15]
root          82  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/15]
root          83  0.0  0.0      0     0 ?        S    10:19   0:06 [migration/15]
root          84  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/15]
root          86  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/15:0H-events_highpri]
root          87  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/1]
root          88  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/1]
root          89  0.0  0.0      0     0 ?        S    10:19   0:01 [migration/1]
root          90  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/1]
root          92  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/1:0H-events_highpri]
root          93  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/3]
root          94  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/3]
root          95  0.0  0.0      0     0 ?        S    10:19   0:00 [migration/3]
root          96  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/3]
root          98  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/3:0H-events_highpri]
root          99  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/5]
root         100  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/5]
root         101  0.0  0.0      0     0 ?        S    10:19   0:00 [migration/5]
root         102  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/5]
root         104  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/5:0H-events_highpri]
root         105  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/7]
root         106  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/7]
root         107  0.0  0.0      0     0 ?        S    10:19   0:00 [migration/7]
root         108  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/7]
root         110  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/7:0H-events_highpri]
root         111  0.0  0.0      0     0 ?        S    10:19   0:00 [kdevtmpfs]
root         112  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-inet_]
root         113  0.0  0.0      0     0 ?        S    10:19   0:00 [kauditd]
root         115  0.0  0.0      0     0 ?        S    10:19   0:00 [khungtaskd]
root         116  0.0  0.0      0     0 ?        S    10:19   0:00 [oom_reaper]
root         118  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-write]
root         119  0.0  0.0      0     0 ?        S    10:19   0:20 [kcompactd0]
root         120  0.0  0.0      0     0 ?        SN   10:19   0:00 [ksmd]
root         122  0.0  0.0      0     0 ?        SN   10:19   0:00 [khugepaged]
root         123  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-kinte]
root         124  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-kbloc]
root         125  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-blkcg]
root         126  0.1  0.0      0     0 ?        S    10:19   0:57 [irq/9-acpi]
root         128  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-tpm_d]
root         129  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-ata_s]
root         130  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-md]
root         131  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-md_bi]
root         132  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-edac-]
root         133  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-devfr]
root         135  0.0  0.0      0     0 ?        S    10:19   0:00 [watchdogd]
root         137  0.0  0.0      0     0 ?        I<   10:19   0:01 [kworker/8:1H-events_highpri]
root         139  0.0  0.0      0     0 ?        S    10:19   0:04 [kswapd0]
root         140  0.0  0.0      0     0 ?        S    10:19   0:00 [ecryptfs-kthread]
root         141  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-kthro]
root         144  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-acpi_]
root         148  0.0  0.0      0     0 ?        S    10:19   0:01 [hwrng]
root         149  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-hfi-u]
root         150  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-mld]
root         151  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/9:1H-kblockd]
root         152  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-ipv6_]
root         159  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-kstrp]
root         181  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-charg]
root         205  0.0  0.0      0     0 ?        I<   10:19   0:01 [kworker/13:1H-kblockd]
root         208  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/10:1H-events_highpri]
root         211  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/4:1H-kblockd]
root         227  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/0:1H-events_highpri]
root         228  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/2:1H-kblockd]
root         231  0.0  0.0      0     0 ?        I<   10:19   0:03 [kworker/12:1H-events_highpri]
root         264  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/5:1H-events_highpri]
root         265  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/6:1H-kblockd]
root         266  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/3:1H-kblockd]
root         267  0.0  0.0      0     0 ?        I<   10:19   0:05 [kworker/15:1H-events_highpri]
root         269  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/11:1H-kblockd]
root         270  0.0  0.0      0     0 ?        I<   10:19   0:01 [kworker/14:1H-kblockd]
root         271  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/7:1H-kblockd]
root         272  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/1:1H-kblockd]
root         302  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-nvme-]
root         303  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-nvme-]
root         304  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-nvme-]
root         305  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-nvme-]
root         306  1.1  0.0      0     0 ?        S    10:19   7:02 [irq/155-GXTP7863:00]
root         313  0.0  0.0      0     0 ?        S    10:19   0:00 [spi0]
root         350  0.0  0.0      0     0 ?        S    10:19   0:08 [jbd2/nvme0n1p2-8]
root         351  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-ext4-]
root         405  0.0  0.1  75816 26832 ?        S<s  10:19   0:03 /usr/lib/systemd/systemd-journald
root         485  0.0  0.0  30600  7740 ?        Ss   10:19   0:06 /usr/lib/systemd/systemd-udevd
root         526  0.0  0.0      0     0 ?        S    10:19   0:00 [psimon]
root         620  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-cfg80]
root         621  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/157-mei_me]
root         627  0.1  0.0      0     0 ?        S    10:19   0:41 [irq/158-iwlwifi:default_queue]
root         628  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/159-iwlwifi:queue_1]
root         629  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/160-iwlwifi:queue_2]
root         630  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/161-iwlwifi:queue_3]
root         631  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/162-iwlwifi:queue_4]
root         632  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/163-iwlwifi:queue_5]
root         633  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/164-iwlwifi:queue_6]
root         634  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/165-iwlwifi:queue_7]
root         635  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/166-iwlwifi:queue_8]
root         636  0.0  0.0      0     0 ?        S    10:19   0:21 [irq/167-iwlwifi:queue_9]
root         637  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/168-iwlwifi:queue_10]
root         638  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/169-iwlwifi:queue_11]
root         639  0.0  0.0      0     0 ?        S    10:19   0:12 [irq/170-iwlwifi:queue_12]
root         640  0.0  0.0      0     0 ?        S    10:19   0:30 [irq/171-iwlwifi:queue_13]
root         641  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/172-iwlwifi:queue_14]
root         642  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/173-iwlwifi:exception]
root         647  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/16-processor_thermal_device_pci]
root         655  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-ttm]
root         656  0.0  0.0      0     0 ?        S    10:19   0:00 [card1-crtc0]
root         657  0.0  0.0      0     0 ?        S    10:19   0:00 [card1-crtc1]
root         658  0.0  0.0      0     0 ?        S    10:19   0:00 [card1-crtc2]
root         659  0.0  0.0      0     0 ?        S    10:19   0:00 [card1-crtc3]
root         706  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-crypt]
systemd+     872  0.0  0.0  17556  7424 ?        Ss   10:19   0:16 /usr/lib/systemd/systemd-oomd
systemd+     873  0.0  0.0  22048 12672 ?        Ss   10:19   0:05 /usr/lib/systemd/systemd-resolved
systemd+     874  0.0  0.0  91044  7808 ?        Ssl  10:19   0:00 /usr/lib/systemd/systemd-timesyncd
avahi        925  0.0  0.0   8796  3968 ?        Ss   10:19   0:01 avahi-daemon: running [g.local]
root         926  0.0  0.0  13556  5760 ?        Ss   10:19   0:00 /usr/libexec/bluetooth/bluetoothd
message+     927  0.0  0.0  12240  6656 ?        Ss   10:19   0:13 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+     931  0.0  0.0 439204 15528 ?        Ssl  10:19   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd      935  0.0  0.0 389212 12148 ?        Ssl  10:19   0:02 /usr/lib/polkit-1/polkitd --no-debug
root         938  0.0  0.0 311284  7792 ?        Ssl  10:19   0:00 /usr/libexec/power-profiles-daemon
root         949  0.0  0.2 2356868 33584 ?       Ssl  10:19   0:10 /usr/lib/snapd/snapd
root         953  0.0  0.0 312676  9040 ?        Ssl  10:19   0:01 /usr/libexec/accounts-daemon
root         958  0.0  0.0   6828  2688 ?        Ss   10:19   0:00 /usr/sbin/cron -f -P
root         961  0.0  0.0 307380  6272 ?        Ssl  10:19   0:00 /usr/libexec/switcheroo-control
root         970  0.0  0.0  18116  8488 ?        Ss   10:19   0:01 /usr/lib/systemd/systemd-logind
root         975  0.0  0.0 469952 12972 ?        Ssl  10:19   0:02 /usr/libexec/udisks2/udisksd
avahi        996  0.0  0.0   8476  1164 ?        S    10:19   0:00 avahi-daemon: chroot helper
root        1009  0.0  0.1 336264 20964 ?        Ssl  10:19   0:12 /usr/sbin/NetworkManager --no-daemon
root        1010  0.0  0.0  18404 11136 ?        Ss   10:19   0:01 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1047  0.0  0.0 222564  5248 ?        Ssl  10:19   0:01 /usr/sbin/rsyslogd -n -iNONE
root        1078  0.0  0.0 392096 11432 ?        Ssl  10:19   0:00 /usr/sbin/ModemManager
root        1102  0.0  0.0 317788 11412 ?        Ssl  10:19   0:08 /usr/libexec/upowerd
root        1176  0.0  0.0      0     0 ?        S    10:19   0:00 [irq/175-AudioDSP]
root        1487  0.0  0.0  35244 10752 ?        Ss   10:19   0:00 /usr/sbin/cupsd -l
redis       1496  0.2  0.0  65308 12800 ?        Ssl  10:19   1:23 /usr/bin/redis-server 127.0.0.1:6379
root        1500  0.0  0.1 109656 21112 ?        Ssl  10:19   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1520  0.1  0.2 2837108 47860 ?       Ssl  10:19   0:46 /usr/bin/containerd
root        1526  0.0  0.0  16884  6192 ?        Ss   10:19   0:02 /usr/sbin/apache2 -k start
www-data    1533  0.0  0.0 2011932 12604 ?       Sl   10:19   0:00 /usr/sbin/apache2 -k start
www-data    1534  0.0  0.0 2011932 12476 ?       Sl   10:19   0:00 /usr/sbin/apache2 -k start
root        1536  0.0  0.0 312616  9984 ?        Ssl  10:19   0:00 /usr/sbin/gdm3
root        1613  0.0  0.0 387828 11392 ?        Sl   10:19   0:00 gdm-session-worker [pam/gdm-autologin]
g           1642  0.0  0.0  21528 13496 ?        Ss   10:19   0:11 /usr/lib/systemd/systemd --user
g           1643  0.0  0.0  21456  3608 ?        S    10:19   0:00 (sd-pam)
g           1663  0.2  0.1 122604 20780 ?        S<sl 10:19   1:37 /usr/bin/pipewire
g           1664  0.0  0.0  95140  5504 ?        Ssl  10:19   0:00 /usr/bin/pipewire -c filter-chain.conf
g           1666  0.0  0.0  39128  3200 ?        Ss   10:19   0:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
g           1667  0.0  0.1 404148 16768 ?        S<sl 10:19   0:02 /usr/bin/wireplumber
g           1668  0.2  0.2 141772 39180 ?        S<sl 10:19   1:52 /usr/bin/pipewire-pulse
g           1669  0.0  0.0 462080 10240 ?        SLsl 10:19   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
g           1678  0.0  0.0  11468  7168 ?        Ss   10:19   0:08 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
rtkit       1694  0.0  0.0  22940  3328 ?        SNsl 10:19   0:00 /usr/libexec/rtkit-daemon
g           1702  0.0  0.0 233492  6528 tty2     Ssl+ 10:19   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
g           1712  0.0  0.1 296024 16256 tty2     Sl+  10:19   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
g           1792  0.0  0.0 162652  6912 ?        Ssl  10:19   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
g           1796  0.0  0.0  88952  5376 ?        Ssl  10:19   0:00 /usr/libexec/gnome-session-ctl --monitor
root        1805  0.0  0.0      0     0 ?        S<   10:19   0:00 [krfcommd]
g           1811  0.0  0.0 312116  8192 ?        Ssl  10:19   0:00 /usr/libexec/gvfsd
g           1828  0.0  0.0 457512  7040 ?        Sl   10:19   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
g           1840  0.0  0.1 519132 18304 ?        Ssl  10:19   0:01 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
g           1844  0.0  0.0 608092  7168 ?        Ssl  10:19   0:00 /usr/libexec/xdg-document-portal
g           1849  0.0  0.0 307236  6016 ?        Ssl  10:19   0:00 /usr/libexec/xdg-permission-store
root        1868  0.0  0.0   2704  1920 ?        Ss   10:19   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
g           1895  0.0  0.0 383016  7296 ?        Sl   10:19   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
g           1916  0.0  0.0   9608  4608 ?        S    10:19   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
g           1917  5.8  2.1 5238724 351024 ?      Ssl  10:19  37:20 /usr/bin/gnome-shell
g           1980  0.0  0.0 236068  7296 ?        Sl   10:19   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
colord      1981  0.0  0.0 317860 14364 ?        Ssl  10:19   0:00 /usr/libexec/colord
g           2035  0.0  0.1 654984 17024 ?        Sl   10:19   0:00 /usr/libexec/gnome-shell-calendar-server
g           2043  0.0  0.2 1261116 42496 ?       Ssl  10:19   0:00 /usr/libexec/evolution-source-registry
g           2056  0.0  0.1 2922648 27040 ?       Sl   10:19   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
g           2073  0.2  0.0 386648 12116 ?        Ssl  10:19   1:39 /usr/bin/ibus-daemon --panel disable
g           2074  0.0  0.0 381488  6528 ?        Ssl  10:19   0:00 /usr/libexec/gsd-a11y-settings
g           2076  0.0  0.1 411424 20488 ?        Ssl  10:19   0:00 /usr/libexec/gsd-color
g           2077  0.0  0.0 429648 12032 ?        Ssl  10:19   0:00 /usr/libexec/gsd-datetime
g           2079  0.0  0.0 456948  8064 ?        Ssl  10:19   0:05 /usr/libexec/gsd-housekeeping
g           2082  0.0  0.1 410264 19712 ?        Ssl  10:19   0:00 /usr/libexec/gsd-keyboard
g           2086  0.0  0.1 805616 25856 ?        Ssl  10:19   0:01 /usr/libexec/gsd-media-keys
g           2088  0.0  0.1 591516 26884 ?        Ssl  10:19   0:01 /usr/libexec/gsd-power
g           2093  0.0  0.0 321248 11264 ?        Ssl  10:19   0:00 /usr/libexec/gsd-print-notifications
g           2096  0.0  0.0 528976  6656 ?        Ssl  10:19   0:00 /usr/libexec/gsd-rfkill
g           2103  0.0  0.0 307180  5888 ?        Ssl  10:19   0:00 /usr/libexec/gsd-screensaver-proxy
g           2108  0.0  0.0 541296 11264 ?        Ssl  10:19   0:06 /usr/libexec/gsd-sharing
g           2111  0.0  0.0 383788  8064 ?        Ssl  10:19   0:00 /usr/libexec/gsd-smartcard
g           2113  0.0  0.0 391608  9728 ?        Ssl  10:19   0:00 /usr/libexec/gsd-sound
g           2114  0.0  0.1 411240 20576 ?        Ssl  10:19   0:00 /usr/libexec/gsd-wacom
g           2117  0.0  0.1 544552 23552 ?        Sl   10:19   0:01 /usr/libexec/goa-daemon
g           2159  0.0  0.3 887048 63572 ?        Sl   10:19   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
g           2162  0.0  0.0 387508 10880 ?        Ssl  10:19   0:22 /usr/libexec/gvfs-udisks2-volume-monitor
g           2182  0.0  0.0 305492  6912 ?        Sl   10:19   0:00 /usr/libexec/gsd-disk-utility-notify
g           2263  0.0  0.0 460680  9088 ?        Sl   10:19   0:00 /usr/libexec/goa-identity-service
g           2274  0.0  0.0 234448  7040 ?        Sl   10:19   0:00 /usr/libexec/ibus-memconf
g           2275  0.0  0.1 419700 29212 ?        Sl   10:19   0:24 /usr/libexec/ibus-extension-gtk3
g           2283  0.0  0.0 308048  7168 ?        Sl   10:19   0:00 /usr/libexec/ibus-portal
g           2314  0.0  0.1 1298276 23552 ?       Ssl  10:19   0:01 /usr/libexec/evolution-calendar-factory
g           2326  0.0  0.0 307384  6400 ?        Ssl  10:19   0:00 /usr/libexec/gvfs-mtp-volume-monitor
g           2338  0.0  0.0 307512  6272 ?        Ssl  10:19   0:00 /usr/libexec/gvfs-goa-volume-monitor
g           2351  0.0  0.1 831520 29056 ?        Ssl  10:19   0:01 /usr/libexec/evolution-addressbook-factory
g           2352  0.0  0.0 308352  6784 ?        Ssl  10:19   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
g           2362  0.0  0.0 386996  7552 ?        Ssl  10:19   0:01 /usr/libexec/gvfs-afc-volume-monitor
root        2394  0.0  0.0 422480  9856 ?        Ssl  10:19   0:03 /usr/sbin/thermald --systemd --dbus-enable --adaptive
g           2410  0.0  0.0 234700  7040 ?        Sl   10:19   0:27 /usr/libexec/ibus-engine-simple
g           2415  0.0  0.0 230572  5760 ?        Ssl  10:19   0:00 /usr/libexec/dconf-service
g           2420  0.0  0.0 429656 16020 ?        Sl   10:19   0:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
g           2471  0.0  0.0 607416  9472 ?        Sl   10:19   0:01 /usr/libexec/gvfsd-trash --spawner :1.17 /org/gtk/gvfs/exec_spaw/0
g           2628  0.0  0.0 413824 14848 ?        Sl   10:19   0:00 /usr/libexec/gsd-printer
g           2635  0.0  0.0 699612 14668 ?        Ssl  10:19   0:03 /usr/libexec/xdg-desktop-portal
g           2662  0.0  0.1 881600 26636 ?        SNsl 10:19   0:05 /usr/libexec/tracker-miner-fs-3
g           2663  0.0  1.0 2184216 176484 ?      Ssl  10:19   0:13 /usr/libexec/xdg-desktop-portal-gnome
g           2697  0.0  0.1 2930776 26848 ?       Sl   10:19   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
cups-br+    2774  0.0  0.1 268520 18688 ?        Ssl  10:19   0:00 /usr/sbin/cups-browsed
g           2783  0.0  0.1 416276 26852 ?        Ssl  10:19   0:00 /usr/libexec/xdg-desktop-portal-gtk
kernoops    2790  0.0  0.0  12744  1688 ?        Ss   10:19   0:00 /usr/sbin/kerneloops --test
kernoops    2803  0.0  0.0  12744  2064 ?        Ss   10:19   0:00 /usr/sbin/kerneloops
g           2990  0.0  0.0 234252  6528 ?        Ssl  10:19   0:00 /usr/libexec/gvfsd-metadata
g           4102  3.5  3.4 34653424 558748 ?     SLl  10:19  22:39 /opt/google/chrome/chrome
g           4108  0.0  0.0   5832  1664 ?        S    10:19   0:00 cat
g           4109  0.0  0.0   5832  1664 ?        S    10:19   0:00 cat
g           4165  0.0  0.0 33577936 3584 ?       Sl   10:19   0:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/g/.config/google-chrome/Crash Reports --metrics-dir=/home/g/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04.1 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=129.0.6668.70 --initial-client-fd=5 --shared-client-connection
g           4172  0.0  0.0 33568700 3200 ?       Sl   10:19   0:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/g/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04.1 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=129.0.6668.70 --initial-client-fd=4 --shared-client-connection
